[167  -7],3
[181  14],2
[198  -7],2
[169  -5],3
[164   0],3
[163  -3],3
[221 -46],3
[222 -45],3
[221 -44],3
[222 -43],3
[222 -44],3
[223 -44],3
[223 -44],3
[224 -43],3
[226 -43],3
[228 -43],3
[230 -42],3
[238 -45],3
[257 -53],3
[286 -59],3
[324 -67],3
[363 -71],3
[403 -74],3
[442 -72],3
[481 -67],3
[355 -12],3
[388 -11],3
[415  -9],3
[438  -7],3
[445  -3],3
[445   0],3
[440  -1],3
[425  -2],3
[401  -2],3
[372  -3],3
[485 -66],3
[418 -85],3
[335 -93],3
[ 253 -103],3
[ 186 -117],3
[ 115 -121],3
[  47 -122],3
[ -25 -117],3
[ -98 -113],3
[-164 -109],3
[-225  -93],3
[-276  -72],3
[-309  -61],3
[-325  -54],3
[-317  -36],3
[-281   -2],3
[-221   47],3
[74 -5],3
[139  42],3
[217 103],3
[303 155],3
[533  89],3
[505  61],3
[599  -7],2
[480 -79],2
[480 -79],2
[480 -79],2
[481 -79],2
[481 -79],2
[481 -79],2
[481 -79],2
[481 -79],2
[598  -8],2
[481 -79],2
[481 -79],2
[481 -79],2
[599  -6],2
[599  -6],2
[599  -6],2
[600  -7],2
[599  -6],2
[601  -5],2
[599  -6],2
[600  -6],2
[599  -6],2
[599  -6],2
